area,area_normal,floor,floor_normal,avgTemp,avgTemp_normal,semester,usage
13621.03,0.2493,11,1.0000,28,0.4286,1,146000
13621.03,0.2493,11,1.0000,30,0.7143,1,134000
13621.03,0.2493,11,1.0000,31,0.8571,0,166000
13621.03,0.2493,11,1.0000,32,1.0000,0,122000
13621.03,0.2493,11,1.0000,32,1.0000,0,154000
13621.03,0.2493,11,1.0000,30,0.7143,1,170000
13621.03,0.2493,11,1.0000,30,0.7143,1,148000
13621.03,0.2493,11,1.0000,30,0.7143,1,165000
13621.03,0.2493,11,1.0000,29,0.5714,1,143000
13621.03,0.2493,11,1.0000,29,0.5714,0,155000
13621.03,0.2493,11,1.0000,30,0.7143,1,140000
13621.03,0.2493,11,1.0000,25,0.0000,1,106000
13621.03,0.2493,11,1.0000,25,0.0000,1,119000
13621.03,0.2493,11,1.0000,28,0.4286,1,116000
13621.03,0.2493,11,1.0000,30,0.7143,1,141000
13621.03,0.2493,11,1.0000,31,0.8571,1,128000
13621.03,0.2493,11,1.0000,31,0.8571,1,137000
13621.03,0.2493,11,1.0000,30,0.7143,0,139000
13621.03,0.2493,11,1.0000,30,0.7143,0,139000
13621.03,0.2493,11,1.0000,29,0.5714,1,140000
13621.03,0.2493,11,1.0000,29,0.5714,1,142000
13621.03,0.2493,11,1.0000,29,0.5714,1,140000
13621.03,0.2493,11,1.0000,29,0.5714,1,140000
13621.03,0.2493,11,1.0000,27,0.2857,1,120000
13621.03,0.2493,11,1.0000,26,0.1429,1,126000
13621.03,0.2493,11,1.0000,28,0.4286,1,120000
13621.03,0.2493,11,1.0000,30,0.7143,1,134000
13621.03,0.2493,11,1.0000,30,0.7143,1,127000
13621.03,0.2493,11,1.0000,31,0.8571,1,142000
13621.03,0.2493,11,1.0000,30,0.7143,0,141000
13621.03,0.2493,11,1.0000,30,0.7143,0,160000
13621.03,0.2493,11,1.0000,30,0.7143,1,142000
13621.03,0.2493,11,1.0000,29,0.5714,1,144000
13621.03,0.2493,11,1.0000,29,0.5714,1,146000
13621.03,0.2493,11,1.0000,29,0.5714,1,145000
13621.03,0.2493,11,1.0000,28,0.4286,1,127000
13621.03,0.2493,11,1.0000,27,0.2857,1,128000
13621.03,0.2493,11,1.0000,28,0.4286,1,115000
13621.03,0.2493,11,1.0000,31,0.8571,1,146000
13621.03,0.2493,11,1.0000,32,1.0000,1,125000
13621.03,0.2493,11,1.0000,32,1.0000,1,122000
13621.03,0.2493,11,1.0000,29,0.5714,0,149000
13621.03,0.2493,11,1.0000,29,0.5714,0,135000
13621.03,0.2493,11,1.0000,30,0.7143,1,148000
13621.03,0.2493,11,1.0000,29,0.5714,1,146000
13621.03,0.2493,11,1.0000,29,0.5714,1,152000
13621.03,0.2493,11,1.0000,29,0.5714,1,140000
13621.03,0.2493,11,1.0000,27,0.2857,1,128000
13621.03,0.2493,11,1.0000,27,0.2857,1,128000
13621.03,0.2493,11,1.0000,28,0.4286,1,123000
13621.03,0.2493,11,1.0000,30,0.7143,1,144000
13621.03,0.2493,11,1.0000,31,0.8571,1,117000
13621.03,0.2493,11,1.0000,30,0.7143,1,133000
13621.03,0.2493,11,1.0000,29,0.5714,0,142000
13621.03,0.2493,11,1.0000,29,0.5714,0,134000
13621.03,0.2493,11,1.0000,29,0.5714,1,145000
13621.03,0.2493,11,1.0000,29,0.5714,1,140000
13621.03,0.2493,11,1.0000,28,0.4286,1,118000
13621.03,0.2493,11,1.0000,28,0.4286,1,134000
13621.03,0.2493,11,1.0000,26,0.1429,1,122000
13621.03,0.2493,11,1.0000,27,0.2857,1,117000
13621.03,0.2493,11,1.0000,27,0.2857,1,123000
13621.03,0.2493,11,1.0000,29,0.5714,1,140000
13621.03,0.2493,11,1.0000,29,0.5714,1,109000
13621.03,0.2493,11,1.0000,29,0.5714,1,137000
12723.74,0.2289,11,1.0000,29,0.5714,1,353000
12723.74,0.2289,11,1.0000,29,0.5714,1,399000
12723.74,0.2289,11,1.0000,29,0.5714,1,400000
12723.74,0.2289,11,1.0000,28,0.4286,1,387000
12723.74,0.2289,11,1.0000,27,0.2857,1,352000
12723.74,0.2289,11,1.0000,28,0.4286,1,363000
12723.74,0.2289,11,1.0000,31,0.8571,1,396000
12723.74,0.2289,11,1.0000,32,1.0000,1,409000
12723.74,0.2289,11,1.0000,32,1.0000,1,418000
12723.74,0.2289,11,1.0000,29,0.5714,0,381000
12723.74,0.2289,11,1.0000,29,0.5714,0,386000
12723.74,0.2289,11,1.0000,30,0.7143,1,391000
12723.74,0.2289,11,1.0000,29,0.5714,1,350000
12723.74,0.2289,11,1.0000,29,0.5714,1,357000
12723.74,0.2289,11,1.0000,29,0.5714,1,357000
12723.74,0.2289,11,1.0000,27,0.2857,1,325000
12723.74,0.2289,11,1.0000,27,0.2857,1,314000
12723.74,0.2289,11,1.0000,28,0.4286,1,304000
12723.74,0.2289,11,1.0000,30,0.7143,1,391000
12723.74,0.2289,11,1.0000,31,0.8571,1,342000
12723.74,0.2289,11,1.0000,30,0.7143,1,369000
12723.74,0.2289,11,1.0000,29,0.5714,0,355000
12723.74,0.2289,11,1.0000,29,0.5714,1,362000
12723.74,0.2289,11,1.0000,29,0.5714,1,346000
12723.74,0.2289,11,1.0000,28,0.4286,1,335000
12723.74,0.2289,11,1.0000,28,0.4286,1,321000
12723.74,0.2289,11,1.0000,26,0.1429,1,317000
12723.74,0.2289,11,1.0000,27,0.2857,1,330000
12723.74,0.2289,11,1.0000,27,0.2857,1,332000
12723.74,0.2289,11,1.0000,29,0.5714,1,402000
12723.74,0.2289,11,1.0000,29,0.5714,1,377000
12723.74,0.2289,11,1.0000,29,0.5714,1,392000
12723.74,0.2289,11,1.0000,30,0.7143,0,394000
12723.74,0.2289,11,1.0000,29,0.5714,0,382000
12723.74,0.2289,11,1.0000,29,0.5714,1,361000
2665.17,0.0000,4,0.0000,28,0.4286,1,110240
2665.17,0.0000,4,0.0000,30,0.7143,1,112080
2665.17,0.0000,4,0.0000,32,1.0000,0,102264
2665.17,0.0000,4,0.0000,32,1.0000,0,103886
2665.17,0.0000,4,0.0000,30,0.7143,1,116807
2665.17,0.0000,4,0.0000,29,0.5714,1,113144
2665.17,0.0000,4,0.0000,28,0.4286,1,99859
2665.17,0.0000,4,0.0000,30,0.7143,1,114548
2665.17,0.0000,4,0.0000,31,0.8571,1,120601
2665.17,0.0000,4,0.0000,30,0.7143,0,118037
2665.17,0.0000,4,0.0000,29,0.5714,1,119177
2665.17,0.0000,4,0.0000,29,0.5714,1,125136
2665.17,0.0000,4,0.0000,29,0.5714,1,92361
2665.17,0.0000,4,0.0000,27,0.2857,1,91309
2665.17,0.0000,4,0.0000,31,0.8571,1,94120
2665.17,0.0000,4,0.0000,30,0.7143,0,97000
2665.17,0.0000,4,0.0000,30,0.7143,1,169273
11685.45,0.2053,7,0.4286,28,0.4286,1,121000
11685.45,0.2053,7,0.4286,30,0.7143,1,119000
11685.45,0.2053,7,0.4286,31,0.8571,0,147000
11685.45,0.2053,7,0.4286,32,1.0000,0,125000
11685.45,0.2053,7,0.4286,32,1.0000,0,150000
11685.45,0.2053,7,0.4286,30,0.7143,1,138000
11685.45,0.2053,7,0.4286,30,0.7143,1,128000
11685.45,0.2053,7,0.4286,30,0.7143,1,142000
11685.45,0.2053,7,0.4286,29,0.5714,1,132000
11685.45,0.2053,7,0.4286,29,0.5714,0,136000
11685.45,0.2053,7,0.4286,30,0.7143,1,136000
11685.45,0.2053,7,0.4286,25,0.0000,1,94000
11685.45,0.2053,7,0.4286,25,0.0000,1,94000
11685.45,0.2053,7,0.4286,28,0.4286,1,108000
11685.45,0.2053,7,0.4286,30,0.7143,1,117999
11685.45,0.2053,7,0.4286,31,0.8571,1,126000
11685.45,0.2053,7,0.4286,31,0.8571,1,133000
11685.45,0.2053,7,0.4286,30,0.7143,0,135000
11685.45,0.2053,7,0.4286,30,0.7143,0,138000
11685.45,0.2053,7,0.4286,29,0.5714,1,131000
11685.45,0.2053,7,0.4286,29,0.5714,1,129000
11685.45,0.2053,7,0.4286,29,0.5714,1,129000
11685.45,0.2053,7,0.4286,29,0.5714,1,128000
11685.45,0.2053,7,0.4286,27,0.2857,1,112000
11685.45,0.2053,7,0.4286,26,0.1429,1,108000
11685.45,0.2053,7,0.4286,28,0.4286,1,114000
11685.45,0.2053,7,0.4286,30,0.7143,1,123000
11685.45,0.2053,7,0.4286,30,0.7143,1,122000
11685.45,0.2053,7,0.4286,31,0.8571,1,134000
11685.45,0.2053,7,0.4286,30,0.7143,0,131000
11685.45,0.2053,7,0.4286,30,0.7143,0,143000
11685.45,0.2053,7,0.4286,30,0.7143,1,128000
11685.45,0.2053,7,0.4286,29,0.5714,1,127000
11685.45,0.2053,7,0.4286,29,0.5714,1,125000
11685.45,0.2053,7,0.4286,29,0.5714,1,124000
11685.45,0.2053,7,0.4286,28,0.4286,1,135000
11685.45,0.2053,7,0.4286,27,0.2857,1,128000
11685.45,0.2053,7,0.4286,28,0.4286,1,122000
11685.45,0.2053,7,0.4286,31,0.8571,1,149000
11685.45,0.2053,7,0.4286,32,1.0000,1,139000
11685.45,0.2053,7,0.4286,32,1.0000,1,140000
11685.45,0.2053,7,0.4286,29,0.5714,0,153000
11685.45,0.2053,7,0.4286,29,0.5714,0,141000
11685.45,0.2053,7,0.4286,30,0.7143,1,151000
